date,location,location2,vial,datevial,acclimgroup,species,genus,specacc,locspec,treatment,Ctmax,mass,logmass,Ctmax_corr,locgroup,Lat
3132016,PillarPoint,PillarPoint,,3132016 ,17,O. rosacea,Okenia,O. rosacea 17,PillarPoint O. rosacea,PillarPoint O. rosacea 17,29.2,62.5,1.795880017,0.4672,PillarPoint 17,37.5
3132016,PillarPoint,PillarPoint,,3132016 ,17,O. rosacea,Okenia,O. rosacea 17,PillarPoint O. rosacea,PillarPoint O. rosacea 17,31,289,2.460897843,0.107266436,PillarPoint 17,37.5
3132016,PillarPoint,PillarPoint,,3132016 ,13,O. rosacea,Okenia,O. rosacea 13,PillarPoint O. rosacea,PillarPoint O. rosacea 13,31,267.5,2.427323786,0.11588785,PillarPoint 13,37.5
3132016,PillarPoint,PillarPoint,,3132016 ,17,O. rosacea,Okenia,O. rosacea 17,PillarPoint O. rosacea,PillarPoint O. rosacea 17,31.3,128.4,2.108565024,0.24376947,PillarPoint 17,37.5
3132016,PillarPoint,PillarPoint,,3132016 ,13,O. rosacea,Okenia,O. rosacea 13,PillarPoint O. rosacea,PillarPoint O. rosacea 13,32.2,125.6,2.098989639,0.256369427,PillarPoint 13,37.5
3132016,PillarPoint,PillarPoint,,3132016 ,13,O. rosacea,Okenia,O. rosacea 13,PillarPoint O. rosacea,PillarPoint O. rosacea 13,33.2,107.5,2.031408464,0.308837209,PillarPoint 13,37.5
3132016,PillarPoint,PillarPoint,,3132016 ,17,O. rosacea,Okenia,O. rosacea 17,PillarPoint O. rosacea,PillarPoint O. rosacea 17,33.3,199.8,2.300595484,0.166666667,PillarPoint 17,37.5
3132016,PillarPoint,PillarPoint,,3132016 ,13,O. rosacea,Okenia,O. rosacea 13,PillarPoint O. rosacea,PillarPoint O. rosacea 13,33.7,114.9,2.060320029,0.29329852,PillarPoint 13,37.5
3132016,PillarPoint,PillarPoint,,3132016 ,17,O. rosacea,Okenia,O. rosacea 17,PillarPoint O. rosacea,PillarPoint O. rosacea 17,34.3,138.8,2.142389466,0.247118156,PillarPoint 17,37.5
3132016,PillarPoint,PillarPoint,,3132016 ,17,O. rosacea,Okenia,O. rosacea 17,PillarPoint O. rosacea,PillarPoint O. rosacea 17,34.9,259.9,2.41480628,0.134282416,PillarPoint 17,37.5
3132016,PillarPoint,PillarPoint,,3132016 ,13,O. rosacea,Okenia,O. rosacea 13,PillarPoint O. rosacea,PillarPoint O. rosacea 13,34.9,191.3,2.28171497,0.182435964,PillarPoint 13,37.5
